


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.6.0     Platform:  V1.1.1 (b25)     Uptime:    0.000 s
Compiled:   May 26 2022 12:09:46     Directory:  ome/aj/vexcode/aj-code


time (ms), velocity (RPM), voltage (mV), current(mA), power (W), temperature (deg C), torque (Nm)
-386547056639998016.000000, 92.866667, 9049, 1648, 6.560075, 40.000000, 0.674687
-343597383679998016.000000, 94.133333, 9043, 1647, 6.645545, 40.000000, 0.674280
-300647710719998016.000000, 96.200000, 9129, 1649, 6.795482, 40.000000, 0.674681
-257698037759998016.000000, 99.066667, 9092, 1635, 6.936226, 40.000000, 0.668727
-214748364799998016.000000, 95.200000, 9067, 1636, 6.671273, 40.000000, 0.669307
-171798691839998016.000000, 94.266667, 9037, 1645, 6.646603, 40.000000, 0.673434
-128849018879998000.000000, 97.666667, 9061, 1642, 6.871466, 40.000000, 0.671980
-85899345919998000.000000, 98.000000, 9123, 1626, 6.819138, 40.000000, 0.664594
-42949672959998000.000000, 96.333333, 9080, 1624, 6.696708, 40.000000, 0.663954
2000.000000, 100.733333, 9147, 1633, 7.040405, 40.000000, 0.667541
42949672960002000.000000, 99.666667, 9160, 1620, 6.905409, 40.000000, 0.661748
85899345920002000.000000, 99.400000, 9178, 1607, 6.826360, 40.000000, 0.655928
128849018880002000.000000, 97.400000, 9172, 1613, 6.716272, 40.000000, 0.658601
171798691840001984.000000, 98.933333, 9166, 1616, 6.836023, 40.000000, 0.659955
214748364800001984.000000, 100.600000, 9166, 1608, 6.914110, 40.000000, 0.656435
257698037760001984.000000, 98.400000, 9154, 1615, 6.795327, 40.000000, 0.659582
300647710720001984.000000, 99.000000, 9172, 1615, 6.835722, 40.000000, 0.659481
343597383680001984.000000, 101.000000, 9111, 1605, 6.930884, 40.000000, 0.655421
386547056640001984.000000, 98.266667, 9080, 1600, 6.722459, 40.000000, 0.653394
429496729600001984.000000, 99.600000, 9074, 1600, 6.814021, 40.000000, 0.653428
472446402560001984.000000, 102.933333, 9098, 1583, 6.960013, 40.000000, 0.645814
515396075520001984.000000, 100.866667, 9104, 1565, 6.736278, 40.000000, 0.637860
558345748480001984.000000, 102.533333, 9104, 1558, 6.814520, 40.000000, 0.634780
601295421440002048.000000, 103.666667, 9098, 1549, 6.847224, 40.000000, 0.630854
644245094400002048.000000, 103.066667, 9098, 1534, 6.736373, 40.000000, 0.624254
687194767360002048.000000, 101.000000, 9092, 1528, 6.573733, 40.000000, 0.621647
730144440320002048.000000, 103.733333, 9123, 1528, 6.749760, 40.000000, 0.621474
773094113280002048.000000, 102.466667, 9092, 1523, 6.645591, 40.000000, 0.619447
816043786240002048.000000, 99.400000, 9074, 1532, 6.488956, 40.000000, 0.623508
858993459200002048.000000, 102.266667, 9098, 1531, 6.669952, 40.000000, 0.622934
901943132160002048.000000, 105.200000, 9123, 1519, 6.801576, 40.000000, 0.617514
944892805120002048.000000, 103.466667, 9117, 1507, 6.632674, 40.000000, 0.612268
987842478080002048.000000, 99.800000, 9086, 1516, 6.440808, 40.000000, 0.616401
1030792151040002048.000000, 101.600000, 9104, 1509, 6.523144, 40.000000, 0.613220
1073741824000002048.000000, 101.533333, 9117, 1494, 6.447932, 40.000000, 0.606548
1116691496960002048.000000, 106.133333, 9123, 1492, 6.729907, 40.000000, 0.605634
1159641169920002048.000000, 105.400000, 9123, 1493, 6.688262, 40.000000, 0.606074
1202590842880002048.000000, 100.733333, 9104, 1490, 6.379329, 40.000000, 0.604860
